Cell Reference,nCube ID,nCube Name,N of Variables,Variable 1,Cat 1 Seq,Category 1,Variable 2,Cat 2 Seq,Category 2,Variable 3,Cat 3 Seq,Category 3, Variable 4,Cat 4 Seq,Category 4
OCC_RAW1841:female/o20/1249,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1249,Gas-fitter,,,
OCC_RAW1841:female/o20/125,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,125,Bank Agent,,,
OCC_RAW1841:female/o20/1252,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1252,Gas-meter-maker,,,
OCC_RAW1841:female/o20/1254,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1254,Gas-works Service,,,
OCC_RAW1841:female/o20/1255,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1255,Gauze-manufacture,,,
OCC_RAW1841:female/o20/126,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,126,Banker,,,
OCC_RAW1841:female/o20/1269,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1269,Gimp-spinner and Weaver,,,
OCC_RAW1841:female/o20/1275,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1275,Ginger-beer, Soda and Mineral-water-maker,,,
OCC_RAW1841:female/o20/1284,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1284,Girth-web-maker and Weaver,,,
OCC_RAW1841:female/o20/1285,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1285,Glass (Plate) maker,,,
OCC_RAW1841:female/o20/1289,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1289,Glass and Emery-paper-maker,,,
OCC_RAW1841:female/o20/129,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,129,Bark-dealer,,,
OCC_RAW1841:female/o20/1291,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1291,Glass and Glass Bottle-manufacture (all branches),,,
OCC_RAW1841:female/o20/1309,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1309,Glass-merchant,,,
OCC_RAW1841:female/o20/1310,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1310,Glass-painter and Stainer,,,
OCC_RAW1841:female/o20/1315,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1315,Globe-maker,,,
OCC_RAW1841:female/o20/1317,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1317,Glove (Silk) Manufacture (all branches),,,
OCC_RAW1841:female/o20/1319,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1319,Glove-maker and Glover,,,
OCC_RAW1841:female/o20/132,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,132,Barometer and Thermometer-maker,,,
OCC_RAW1841:female/o20/1326,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1326,Glue and Size-maker and Dealer,,,
OCC_RAW1841:female/o20/1333,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1333,Gold Beater's skin-maker,,,
OCC_RAW1841:female/o20/1336,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1336,Gold-beater,,,
OCC_RAW1841:female/o20/1337,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1337,Gold-lace-maker,,,
OCC_RAW1841:female/o20/1342,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1342,Golf-ball-maker,,,
OCC_RAW1841:female/o20/1343,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1343,Golf-club-maker,,,
OCC_RAW1841:female/o20/1346,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1346,Government Civil Service, All other Departments,,,
OCC_RAW1841:female/o20/1347,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1347,Government Civil Service, Customs and Excise,,,
OCC_RAW1841:female/o20/1349,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1349,Government Civil Service, Post-office,,,
OCC_RAW1841:female/o20/1350,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1350,Government Civil Service, Stamps and Taxes,,,
OCC_RAW1841:female/o20/1357,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1357,Grate, Range, and Stove-maker,,,
OCC_RAW1841:female/o20/1361,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1361,Grease-maker and Dealer,,,
OCC_RAW1841:female/o20/1367,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1367,Green-grocer and Fruiterer,,,
OCC_RAW1841:female/o20/1369,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1369,Grinder,,,
OCC_RAW1841:female/o20/137,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,137,Barrister, Advocate, and Conveyancer,,,
OCC_RAW1841:female/o20/1371,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1371,Grindery-dealer,,,
OCC_RAW1841:female/o20/1375,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1375,Grocer and Tea-dealer,,,
OCC_RAW1841:female/o20/1376,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1376,Groom and Hostler,,,
OCC_RAW1841:female/o20/1377,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1377,Guard-chain-maker,,,
OCC_RAW1841:female/o20/1380,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1380,Gun (Air) Maker,,,
OCC_RAW1841:female/o20/1383,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1383,Gun Flint-maker,,,
OCC_RAW1841:female/o20/1384,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1384,Gun Implement-maker,,,
OCC_RAW1841:female/o20/1386,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1386,Gun Powder-maker,,,
OCC_RAW1841:female/o20/1389,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1389,Gun-barrel-maker,,,
OCC_RAW1841:female/o20/139,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,139,Basket-maker,,,
OCC_RAW1841:female/o20/1394,N_OCC_RAW1841,Unclassified occupations, categorised by sex and age,3,Sex,2,Female,Age: Over or under 20,2,20 or over,1841 Occupational Titles,1394,Gun-maker and Gun-smith,,,
